Flour,Water,Yeast,Salt,Type,Source
480,340.5,7,12,pizza,foodnetwork-bobbyflay
276.9,170.25,7,4.5,pizza,sugarspunrun
420,301.91,7,4.5,pizza,sallysbakingaddiction
300,200,1.5,7,pizza,101cookbooks
630,454,13.5,9,pizza,anitalianinmykitchen
300,227,7,6,pizza,allrecipes-chefrider
480,340.5,14,12,pizza,marthastewart
240,170.25,7,6,pizza,loveandlemons
360,255,6,8,pizza,kingarthurbaking-pjhamel
450,340.5,7,12,pizza,thefoodcharlatan
300,227,7,6,pizza,onymkidsplate
630,420,10,10,pizza,seriouseats
420,340.5,9,6,pizza,carlsbadcraving
480,340.5,7,12,pizza,houseofnasheats
660,454,9,18,pizza,moderncrumb
720,567.5,9,12,pizza,tasteandtellblog
240,170.25,7,4.5,pizza,bonappetit
900,681,3,12,pizza,drmcdougall
385,210,4,6,pizza,pickuplimes
900,681,1.5,24,pizza,theendlessmeal
425,340.5,1.5,12,bread,gimmesomeoven
453.5,340.5,2.25,12,bread,thekitchn
300,210,3,4.5,bread,seriouseats
405,340.5,1.5,9,bread,pinchofyum
480,340.5,3,9,bread,simplyrecipes
360,340.5,1.5,10.5,bread,jocooks
360,340.5,0.75,9,bread,breadtopia
360,301.91,0.75,7.5,bread,leitesculinaria
900,680,14,18,bread,kingarthurbaking
360,340.5,0.75,6,bread,steamykitchen
360,340.5,0.75,9,bread,loveandlemons
360,340.5,0.75,3,bread,budgetbytes
480,454,1.5,12,bread,foodandwine
360,340.5,1.5,12,bread,tastesbetterfromscratch
360,340.5,0.75,9,bread,astackofdishes
480,454,1.5,12,bread,markbittman
390,340.5,2.25,12,bread,damndelicious
360,340.5,6,9,bread,joyfoodsunshine
400,300,1,8,bread,epicurious
450,340.5,6.75,13.5,bread,olgasflavorfactory
